구,동,단지명,지번주소,도로명주소,지상층(고),동수,세대수,관리사무소,데이터기준일자
분당구,정자동,한솔마을2단지 LG,성남시 분당구 정자동 111,"경기도 성남시 분당구 정자로 143 (정자동, 한솔마을)",25,11,598,031-715-3297,2024-07-05
분당구,정자동,한솔마을주공5단지,성남시 분당구 정자동 112,"경기도 성남시 분당구 정자로 115 (정자동, 한솔마을주공아파트)",25,12,1156,031-714-2717,2024-07-05
분당구,정자동,한솔마을주공6단지,성남시 분당구 정자동 117,"경기도 성남시 분당구 내정로 54 (정자동, 한솔마을주공6단지아파트)",25,12,1039,031-714-2717,2024-07-05
분당구,정자동,상록마을우성,성남시 분당구 정자동 121,"경기도 성남시 분당구 내정로 55 (정자동, 상록마을)",25,27,1762,031-713-5065,2024-07-05
분당구,정자동,미켈란쉐르빌,성남시 분당구 정자동 180,"경기도 성남시 분당구 정자일로 100 (정자동, 미켈란쉐르빌)",39,4,803,031-782-0300,2024-07-05
분당구,정자동,상록마을보성임광,성남시 분당구 정자동 181,"경기도 성남시 분당구 정자일로 80 (정자동, 상록마을보성아파트)",18,8,568,031-713-0791,2024-07-05
분당구,정자동,정든마을한진6단지,성남시 분당구 정자동 191,경기도 성남시 분당구 내정로 24 (정자동),25,6,298,031-717-1197,2024-07-05
분당구,정자동,정든마을신화,성남시 분당구 정자동 192,"경기도 성남시 분당구 정자로 112 (정자동, 정든마을)",25,8,564,031-716-1975,2024-07-05
분당구,정자동,정든마을한진8단지,성남시 분당구 정자동 193,"경기도 성남시 분당구 불정로 119 (정자동, 정든마을한진8단지아파트)",25,9,512,031-716-1289,2024-07-05
분당구,정자동,정든마을한진7단지,성남시 분당구 정자동 194,"경기도 성남시 분당구 내정로 10 (정자동, 정든마을)",20,5,382,031-712-4641,2024-07-05
분당구,정자동,정든마을우성4차,성남시 분당구 정자동 197,"경기도 성남시 분당구 정자로 144 (정자동, 정든마을)",25,6,270,031-714-1693,2024-07-05
분당구,정자동,정든마을우성6차,성남시 분당구 정자동 198,"경기도 성남시 분당구 불정로 195 (정자동, 정든마을우성6단지아파트)",23,8,706,031-713-4954,2024-07-05
분당구,정자동,정든마을동아2단지,성남시 분당구 정자동 199,"경기도 성남시 분당구 불정로 179 (정자동, 정든마을)",23,8,706,031-718-0297,2024-07-05
분당구,정자동,정든마을동아1단지,성남시 분당구 정자동 200,"경기도 성남시 분당구 불정로 141 (정자동, 정든마을)",23,7,300,031-715-0245,2024-07-05
분당구,정자동,분당더샵파크리버,성남시 분당구 정자동 215,"경기도 성남시 분당구 돌마로 171 (정자동, 분당더샵파크리버)",34,5,506,031-715-6656,2024-07-05
분당구,정자동,로얄팰리스,성남시 분당구 정자동 28-1,"경기도 성남시 분당구 성남대로 449 (정자동, 로얄팰리스)",32,4,566,031-785-5555,2024-07-05
분당구,정자동,위브제니스,성남시 분당구 정자동 15-4,"경기도 성남시 분당구 정자일로232번길 25 (정자동, 위브제니스)",30,2,157,031-719-1456,2024-07-05
분당구,정자동,상록마을라이프1단지,"성남시 분당구 정자동 124, 125","경기도 성남시 분당구 정자로 56 (정자동, 상록마을라이프1단지아파트)",25,13,750,031-713-2599,2024-07-05
분당구,정자동,아데나팰리스,성남시 분당구 정자동 169-1,"경기도 성남시 분당구 성남대로 275 (정자동, 삼성아데나팰리스아파트)",27,3,203,031-719-7608,2024-07-05
분당구,정자동,삼성아데나루체,성남시 분당구 정자동 170-1,"경기도 성남시 분당구 정자일로 120 (정자동, 삼성아데나루체)",25,3,259,031-712-3294,2024-07-05
분당구,정자동,분당더샾스타파크,성남시 분당구 정자동 174-1,"경기도 성남시 분당구 정자일로 121 (정자동, 더샵스타파크)",36,4,378,031-8022-5100,2024-07-05
분당구,판교동,판교원마을13단지,성남시 분당구 판교동 492,"경기도 성남시 분당구 서판교로 193 (판교동, 판교원마을13단지아파트)",4,16,170,031-8016-2225,2024-07-05
분당구,판교동,판교원마을12단지,성남시 분당구 판교동 494,"경기도 성남시 분당구 서판교로 165 (판교동, 판교원마을12단지아파트)",15,8,428,031-8016-0322,2024-07-05
분당구,판교동,판교원마을11단지 현대힐스테이트,성남시 분당구 판교동 513,"경기도 성남시 분당구 서판교로 147 (판교동, 판교원마을현대힐스테이트아파트)",15,13,605,031-8017-3331,2024-07-05
분당구,판교동,판교원마을10단지,성남시 분당구 판교동 552,"경기도 성남시 분당구 서판교로 73 (판교동, 판교원마을10단지아파트)",4,22,248,031-8016-0240,2024-07-05
분당구,판교동,판교원마을9단지 한림풀에버,성남시 분당구 판교동 585,"경기도 성남시 분당구 서판교로 29 (판교동, 판교원마을)",20,23,1045,031-8016-7800,2024-07-05
분당구,판교동,판교원마을1단지,성남시 분당구 판교동 622,"경기도 성남시 분당구 판교로 50 (판교동, 판교원마을1단지아파트)",15,12,402,031-8016-1055,2024-07-05
분당구,판교동,판교원마을2단지,성남시 분당구 판교동 623,"경기도 성남시 분당구 판교로 30 (판교동, 판교원마을2단지아파트)",15,6,202,031-8016-3588,2024-07-05
분당구,판교동,판교원마을3단지,성남시 분당구 판교동 629,"경기도 성남시 분당구 판교로 20 (판교동, 판교원마을3단지아파트)",35,5,486,031-8016-9020,2024-07-05
분당구,판교동,판교원마을5단지,성남시 분당구 판교동 634,"경기도 성남시 분당구 판교원로 207 (판교동, 판교원마을5단지아파트)",35,7,567,031-8016-8042,2024-07-05
분당구,판교동,판교원마을6단지,성남시 분당구 판교동 635,"경기도 성남시 분당구 판교원로 209 (판교동, 판교원마을6단지아파트)",21,6,470,031-626-6663,2024-07-05
분당구,판교동,판교원마을7단지 모아미래도,성남시 분당구 판교동 637,"경기도 성남시 분당구 판교원로 237 (판교동, 판교원마을7단지아파트)",20,9,585,031-702-0015,2024-07-05
분당구,판교동,판교원마을8단지 상록아파트,성남시 분당구 판교동 638,"경기도 성남시 분당구 판교원로 255 (판교동, 판교원마을상록아파트)",20,7,466,031-8016-1008,2024-07-05
수정구,고등동,판교밸리포레자이 ,성남시 수정구 고등동 576,"경기도 성남시 수정구 고등로 33 (고등동, 판교밸리포레자이)",15,12,603,031-751-6481,2024-07-05
수정구,고등동,고등마을 행복주택,성남시 수정구 고등동 578,"경기도 성남시 수정구 고등로 57 (고등동, 고등마을)",15,11,1520,031-759-5674,2024-07-05
수정구,고등동,판교밸리 제일풍경채,성남시 수정구 고등동 590,"경기도 성남시 수정구 고등공원로 19 (고등동, 판교밸리 제일풍경채)",15,9,543,031-778-7935,2024-07-05
수정구,고등동,호반써밋판교밸리,성남시 수정구 고등동 592,"경기도 성남시 수정구 고등로 34 (고등동, 호반써밋 판교밸리)",14,19,768,031-759-9883,2024-07-05
수정구,단대동,선경논골,성남시 수정구 단대동 6,"경기도 성남시 수정구 논골로 87 (단대동, 선경논골1차아파트)",13,3,426,031-733-4444,2024-07-05
수정구,단대동,푸르지오,성남시 수정구 단대동 100,"경기도 성남시 수정구 산성대로437번길 7 (단대동, 푸르지오)",25,13,1015,031-731-4706,2024-07-05
수정구,단대동,휴먼시아,성남시 수정구 단대동 101,"경기도 성남시 수정구 산성대로437번길 8 (단대동, 성남단대동 휴먼시아)",18,2,213,031-735-3003,2024-07-05
수정구,단대동,진로,성남시 수정구 단대동 124,"경기도 성남시 수정구 단대로23번길 32 (단대동, 진로아파트)",15,6,499,031-732-0208,2024-07-05
수정구,단대동,성남미도,성남시 수정구 단대동 182,"경기도 성남시 수정구 희망로 472 (단대동, 미도아파트)",14,2,280,031-734-0237,2024-07-05
수정구,단대동,코오롱하늘채,성남시 수정구 단대동 6986,"경기도 성남시 수정구 단대로15번길 2 (단대동, 코오롱하늘채)",15,4,186,031-742-9615,2024-07-05
수정구,단대동 ,진흥더블파크,성남시 수정구 단대동  78,"경기도 성남시 수정구 단대로23번길 10 (단대동, 진흥더블파크)",15,3,188,031-734-7950,2024-07-05
수정구,수진동,삼부,성남시 수정구 수진동 4663,"경기도 성남시 수정구 모란로 65 (수진동, 삼부아파트)",15,9,834,031-752-0405,2024-07-05
수정구,수진동,삼정그린뷰,성남시 수정구 수진동 4678,"경기도 성남시 수정구 수정로 2 (수진동, 삼정그린뷰)",10,5,274,031-751-2985,2024-07-05
수정구,시흥동,판교 제2테크노밸리 LH 1단지,성남시 수정구 시흥동 324,"경기도 성남시 수정구 창업로40번길 6 (시흥동, 판교 제2테크노밸리 LH 1단지)",10,1,200,031-758-3250,2024-07-05
수정구,신흥동,산성역 포레스티아 아파트,성남시 수정구 신흥동 6951,경기도 성남시 수정구 수정로 319,28,39,4089,031-731-9462,2024-07-05
수정구,신흥동,두산,성남시 수정구 신흥동 2024,"경기도 성남시 수정구 공원로 360 (신흥동, 두산아파트)",15,6,570,031-747-0480,2024-07-05
수정구,신흥동,한신,성남시 수정구 신흥동 2463-1,"경기도 성남시 수정구 산성대로 341 (신흥동, 한신아파트)",15,5,585,031-731-6628,2024-07-05
수정구,신흥동,청구,성남시 수정구 신흥동 2464-1,"경기도 성남시 수정구 공원로 340 (신흥동, 청구아파트)",15,3,493,031-748-8147,2024-07-05
수정구,신흥동,신동아파라디움,성남시 수정구 신흥동 2465-7,"경기도 성남시 수정구 공원로 322 (신흥동, 신동아파라디움)",20,3,272,031-742-0905,2024-07-05
수정구,양지동,우성에비뉴,성남시 수정구 양지동 1022,"경기도 성남시 수정구 논골로36번길 15 (양지동, 우성에비뉴 아파트)",15,4,181,031-733-7807,2024-07-05
수정구,창곡동,위례31단지,성남시 수정구 창곡동 500,"경기도 성남시 수정구 위례순환로 17 (창곡동, 위례31단지)",15,13,2334,031-759-9005,2024-07-05
수정구,창곡동,LH위례36단지,성남시 수정구 창곡동 501,경기도 성남시 수정구 위례순환로 53 (창곡동),15,3,470,031-756-4701,2024-07-05
수정구,창곡동,위례센트럴자이,성남시 수정구 창곡동 504,"경기도 성남시 수정구 위례광장로 97 (창곡동, 위례자연앤센트럴자이)",15,19,1413,031-759-9250,2024-07-05
수정구,창곡동,위례35단지,성남시 수정구 창곡동 510,"경기도 성남시 수정구 위례광장로 311 (창곡동, 위례35단지)",22,14,2568,031-759-8334,2024-07-05
수정구,창곡동,위례 호반베르디움(위례호반써밋에비뉴),성남시 수정구 창곡동 515,"경기도 성남시 수정구 위례중앙로 216 (창곡동, 위례 호반베르디움)",25,15,1137,031-752-1137,2024-07-05
수정구,창곡동,"창곡동,위례센트럴푸르지오",성남시 수정구 창곡동 519,"경기도 성남시 수정구 위례순환로 211 (창곡동, 위례 센트럴 푸르지오)",25,8,687,031-759-9985,2024-07-05
수정구,창곡동,위례더힐55(위례부영사랑으로),성남시 수정구 창곡동 521,"경기도 성남시 수정구 위례순환로 220 (창곡동, 위례더힐55)",20,21,1380,031-752-2203,2024-07-05
수정구,창곡동,삼성래미안 위례,성남시 수정구 창곡동 528,"경기도 성남시 수정구 위례순환로 150 (창곡동, 래미안 위례)",19,7,410,031-721-4651,2024-07-05
수정구,창곡동,위례자이,성남시 수정구 창곡동 531,"경기도 성남시 수정구 위례순환로 100 (창곡동, 위례자이)",19,11,517,031-722-2717,2024-07-05
수정구,창곡동,"위례역푸르지오4,5,6단지",성남시 수정구 창곡동 563,"경기도 성남시 수정구 위례광장로 12 (창곡동, 위례역 푸르지오 6단지)",20,13,620,031-759-9498,2024-07-05
수정구,창곡동,위례자연앤래미안 e편한세상,성남시 수정구 창곡동 567,"경기도 성남시 수정구 위례동로 61 (창곡동, 위례 자연앤 래미안이편한세상)",21,21,1540,031-755-8600,2024-07-05
수정구,창곡동,힐스테이트 위례,성남시 수정구 창곡동 572,"경기도 성남시 수정구 위례동로 15 (창곡동, 힐스테이트 위례)",14,14,621,031-759-7730,2024-07-05
수정구,창곡동,이편한세상테라스위례,성남시 수정구 창곡동 575,"경기도 성남시 수정구 위례동이로 24 (창곡동, 이편한세상테라스위례)",4,15,360,031-759-7065,2024-07-05
수정구,창곡동,위례포레스트부영,성남시 수정구 창곡동 597,"경기도 성남시 수정구 헌릉로 1005 (창곡동, 위례포레스트부영)",14,14,566,031-723-6298,2024-07-05
수정구,태평동,태평선경,성남시 수정구 태평동 7308,"경기도 성남시 수정구 시민로 214 (태평동, 선경태평아파트)",5,9,312,031-721-1767,2024-07-05
수정구,태평동,신세계쉐덴,성남시 수정구 태평동 7336,"경기도 성남시 수정구 수정로 201 (태평동, 신세계쉐덴)",14,6,182,031-759-4561,2024-07-05
수정구,태평동,신동아파밀리에,성남시 수정구 태평동 7341,"경기도 성남시 수정구 시민로 209 (태평동, 신동아 파밀리에)",13,2,168,031-752-7730,2024-07-05
수정구,태평동,가천대역쌍용스윗닷홈,성남시 수정구 태평동 7342,"경기도 성남시 수정구 태평로 9 (태평동, 가천대역 쌍용스윗닷홈)",15,4,191,031-753-2456,2024-07-05
수정구,태평동,가천대역동부센트레빌1단지,성남시 수정구 태평동 7343,"경기도 성남시 수정구 태평로 28 (태평동, 가천대역동부센트레빌)",14,6,248,031-757-1010,2024-07-05
수정구,태평동,가천대두산위브,성남시 수정구 태평동 7346,경기도 성남시 수정구 태평로 65,15,8,503,031-759-8085,2024-07-05
수정구,태평동,일성오퍼스원,성남시 수정구 태평동 5113-7,경기도 성남시 수정구 성남대로 1330 (태평동),13,1,161,031-759-1212,2024-07-05
중원구,금광동,단남,성남시 중원구 금광동 92,"경기도 성남시 중원구 희망로 412 (금광동, 단남아파트)",15,2,160,031-741-5553,2024-07-05
중원구,금광동,래미안금광,성남시 중원구 금광동 2500,"경기도 성남시 중원구 황송로 77 (금광동, 래미안금광아파트)",17,11,1098,031-734-0972,2024-07-05
중원구,금광동,다솜마을,성남시 중원구 금광동 2528,"경기도 성남시 중원구 황송로77번길 21 (금광동, 다솜마을 아파트)",15,3,200,031-732-7555,2024-07-05
중원구,금광동,한양수자인 성남마크뷰,성남시 중원구 금광동 2600,경기도 성남시 중원구 광명로 411 (금광동),25,7,711,031-736-2622,2024-07-05
중원구,금광동,삼익금광,성남시 중원구 금광동 3950,"경기도 성남시 중원구 자혜로16번길 9 (금광동, 삼익금광아파트)",12,4,498,031-733-5214,2024-07-05
중원구,금광동,황송마을,성남시 중원구 금광동 2450-1,"경기도 성남시 중원구 황송로 6 (금광동, 황송마을아파트)",15,11,990,031-734-6415,2024-07-05
중원구,금광동,금빛그랑메종 1단지,성남시 중원구 금광동 1001,경기도 성남시 중원구 금광로 11,29,9,1135,031-731-1100,2024-07-05
중원구,금광동,금빛그랑메종 2단지,성남시 중원구 금광동 1003,경기도 성남시 중원구 금광로 26,22,4,443,031-8039-7366,2024-07-05
중원구,금광동,금빛그랑메종 3단지,성남시 중원구 금광동 1008,경기도 성남시 중원구 금광로 40,25,6,784,031-731-8548,2024-07-05
중원구,금광동,금빛그랑메종 4단지,성남시 중원구 금광동 1016,경기도 성남시 중원구 금광로 71,29,8,948,031-731-4400,2024-07-05
중원구,금광동,금빛그랑메종 5단지,성남시 중원구 금광동 1020,경기도 성남시 중원구 금광로 72,29,8,1102,031-734-5500,2024-07-05
중원구,금광동,금빛그랑메종 6단지,성남시 중원구 금광동 1009,경기도 성남시 중원구 금광로 39,24,4,908,031-733-0222,2024-07-05
중원구,도촌동,LH 동분당 센트럴파크,성남시 중원구 도촌동 700,"경기도 성남시 중원구 도촌남로 22 (도촌동, 휴먼시아섬마을1단지아파트)",15,17,842,031-752-2772,2024-07-05
중원구,도촌동,휴먼시아섬마을2단지,성남시 중원구 도촌동 701,"경기도 성남시 중원구 도촌남로 24 (도촌동, 휴먼시아섬마을2단지아파트)",15,6,534,031-752-7053,2024-07-05
중원구,도촌동,동분당포레스트,성남시 중원구 도촌동 702,"경기도 성남시 중원구 도촌남로 67 (도촌동, 휴먼시아섬마을3단지아파트)",15,7,408,031-722-0582,2024-07-05
중원구,도촌동,휴먼시아섬마을4단지,성남시 중원구 도촌동 703,"경기도 성남시 중원구 도촌남로 69 (도촌동, 휴먼시아섬마을4단지아파트)",15,5,458,031-752-7013,2024-07-05
중원구,도촌동,동분당 더 퍼스트,성남시 중원구 도촌동 704,"경기도 성남시 중원구 도촌북로 78 (도촌동, 휴먼시아섬마을5단지아파트)",15,12,633,031-756-1014,2024-07-05
중원구,도촌동,휴먼시아섬마을7단지,성남시 중원구 도촌동 706,"경기도 성남시 중원구 도촌남로 101 (도촌동, 휴먼시아 섬마을)",15,12,528,031-759-0009,2024-07-05
중원구,도촌동,휴먼시아섬마을8단지,성남시 중원구 도촌동 707,"경기도 성남시 중원구 도촌남로 134 (도촌동, 휴먼시아섬마을8단지아파트)",15,10,762,031-752-7104,2024-07-05
중원구,도촌동,휴먼시아섬마을9단지,성남시 중원구 도촌동 708,"경기도 성남시 중원구 도촌남로 148 (도촌동, 휴먼시아섬마을9단지아파트)",15,12,1005,031-752-7445,2024-07-05
중원구,상대원동,늘푸른산성,성남시 중원구 상대원동 174,"경기도 성남시 중원구 사기막골로150번길 10 (상대원동, 산성아파트)",21,4,360,031-733-1024,2024-07-05
중원구,상대원동,삼익상대원,성남시 중원구 상대원동 152-3,"경기도 성남시 중원구 사기막골로31번길 34 (상대원동, 삼익상대원아파트)",12,2,264,031-733-2935,2024-07-05
중원구,상대원동,일성,성남시 중원구 상대원동 178-6,"경기도 성남시 중원구 순환로198번길 12 (상대원동, 일성아파트)",15,1,270,031-734-9585,2024-07-05
중원구,상대원동,상대원동 성지,성남시 중원구 상대원동 195-5,"경기도 성남시 중원구 순환로 178 (상대원동, 성지아파트)",6,8,441,031-745-3421,2024-07-05
중원구,상대원동,선경 (2차 시영),성남시 중원구 상대원동 279-1,"경기도 성남시 중원구 금상로 134 (상대원동, 선경상대원2차아파트)",15,19,2510,031-748-4654,2024-07-05
중원구,상대원동,산호,성남시 중원구 상대원동 산19-4,"경기도 성남시 중원구 순환로198번길 14 (상대원동, 산호아파트)",12,1,158,031-732-4994,2024-07-05
중원구,성남동,보미리전빌3,성남시 중원구 성남동 2508,"경기도 성남시 중원구 광명로 114 (성남동, 보미리전빌Ⅲ)",12,1,150,031-721-7979,2024-07-05
중원구,성남동,성남동 현대,성남시 중원구 성남동 3121,"경기도 성남시 중원구 둔촌대로 193 (성남동, 현대아파트)",15,2,375,031-758-9834,2024-07-05
중원구,성남동,금호어울림,성남시 중원구 성남동 3126,"경기도 성남시 중원구 둔촌대로171번길 6 (성남동, 금호어울림아파트)",15,11,507,031-758-8005,2024-07-05
중원구,성남동,성남동 여수LH1단지 (임대),성남시 중원구 성남동 4700,"경기도 성남시 중원구 둔촌대로63번길 11 (성남동, 성남여수엘에이치1단지)",14,7,658,031-723-8866,2024-07-05
중원구,여수동,센트럴타운3단지,성남시 중원구 여수동 600,"경기도 성남시 중원구 성남대로 1000 (여수동, 센트럴타운)",15,23,1039,031-752-2137,2024-07-05
중원구,여수동,연꽃마을4단지 (혼합),성남시 중원구 여수동 601,"경기도 성남시 중원구 여수울로 50 (여수동, 연꽃마을 아파트)",14,10,456,031-721-3391,2024-07-05
중원구,여수동,산들마을 2단지 ,성남시 중원구 여수동 602,"경기도 성남시 중원구 여수울로 51 (여수동, 산들마을)",15,16,1171,031-754-6410,2024-07-05
중원구,은행동,은행주공,성남시 중원구 은행동 550,"경기도 성남시 중원구 산성대로552번길 15 (은행동, 은행주공아파트)",15,23,1900,031-734-4326,2024-07-05
중원구,은행동,은빛마을 두산위브,성남시 중원구 은행동 1740,"경기도 성남시 중원구 은행로 13 (은행동, 두산위브)",15,6,432,031-745-2323,2024-07-05
중원구,은행동,은행동 현대,성남시 중원구 은행동 1932-6,"경기도 성남시 중원구 자혜로17번길 16 (은행동, 현대아파트)",15,14,1258,031-733-0378,2024-07-05
중원구,중앙동,힐스테이트2차,성남시 중원구 중앙동 577,"경기도 성남시 중원구 시민로 66 (중앙동, 중앙동 힐스테이트 2차)",15,15,751,031-734-5666,2024-07-05
중원구,중앙동,힐스테이트1차,성남시 중원구 중앙동 578,"경기도 성남시 중원구 시민로66번길 21 (중앙동, 중앙동힐스테이트1차)",15,7,356,031-731-8044,2024-07-05
중원구,중앙동,롯데캐슬,성남시 중원구 중앙동 710,"경기도 성남시 중원구 희망로 415 (중앙동, 롯데캐슬)",21,9,545,031-736-0600,2024-07-05
중원구,중앙동,신흥역 하늘채 랜더스원 1단지,성남시 중원구 중앙동 3001,경기도 성남시 중원구 광명로 176,24,14,1267,031-749-8880,2024-07-05
중원구,중앙동,신흥역 하늘채 랜더스원 2단지,성남시 중원구 중앙동 3006,경기도 성남시 중원구 광명로 204,27,3,332,031-749-9419,2024-07-05
중원구,중앙동,신흥역 하늘채 랜더스원 3단지,성남시 중원구 중앙동 3007,경기도 성남시 중원구 광명로 206,25,4,400,031-746-3007,2024-07-05
중원구,중앙동,신흥역 하늘채 랜더스원 4단지,성남시 중원구 중앙동 3005,경기도 성남시 중원구 광명로 202,,2,412,031-736-3004,2024-07-05
중원구,하대원동,하대원동 현대,성남시 중원구 하대원동 190,"경기도 성남시 중원구 시민로28번길 6 (하대원동, 현대아파트)",14,3,314,031-754-2320,2024-07-05
중원구,하대원동,아튼빌,성남시 중원구 하대원동 249,"경기도 성남시 중원구 둔촌대로 300 (하대원동, 아튼빌아파트)",23,17,1541,031-603-3707,2024-07-05
중원구,하대원동,자이,성남시 중원구 하대원동 539,"경기도 성남시 중원구 둔촌대로 363 (하대원동, 자이아파트)",22,14,910,031-752-9912,2024-07-05
중원구,하대원동,성원초원,성남시 중원구 하대원동 115-3,"경기도 성남시 중원구 원터로18번길 19 (하대원동, 성원초원아파트)",12,3,281,031-721-7684,2024-07-05
수정구,창곡동,위례자이더시티,성남시 수정구 창곡동 512,경기도 성남시 수정구 위례중앙로 190,10,12,800,031-8039-6012,2024-07-05
수정구,신흥동,산성역 자이푸르지오 1단지,성남시 수정구 신흥동 6961,경기도 성남시 수정구 수정로 260,29,13,1852,031-732-6550,2024-07-05
수정구,신흥동,산성역 자이푸르지오 2단지,성남시 수정구 신흥동 6963,경기도 성남시 수정구 수정로 288,29,10,1270,031-744-5445,2024-07-05
수정구,신흥동,산성역 자이푸르지오 3단지,성남시 수정구 신흥동 6971,경기도 성남시 수정구 희망로 531,29,5,840,031-742-3330,2024-07-05
수정구,신흥동,산성역 자이푸르지오 4단지,성남시 수정구 신흥동 6970,경기도 성남시 수정구 희망로 533,26,3,812,031-749-0121,2024-07-05
분당구,대장동,판교포레나인9단지,성남시 분당구 대장동 625,경기도 성남시 분당구 판교대장로 71,18,4,221,031-711-2971,2024-07-05
중원구,상대원동,성남산단3단지 아파트,성남시 중원구 상대원동 252-1,경기도 성남시 중원구 갈마치로 241,4,1,194,031-732-7775,2024-07-05
분당구,대장동,판교SK뷰테라스,성남시 분당구 대장동 590,경기도 성남시 분당구 판교대장로7길 37,4,16,292,031-712-9942,2024-07-05
분당구,구미동, 까치마을금성백조연립,성남시 분당구 구미동 20,"경기도 성남시 분당구 미금일로90번길 11 (구미동, 까치마을금성백조빌라)",4,6,112,031-714-7997,2024-07-05
분당구,구미동, 까치마을우방우성빌라,성남시 분당구 구미동 75,"경기도 성남시 분당구 금곡로 201 (구미동, 까치마을우방,우성빌라)",3,8,108,031-712-4555,2024-07-05
분당구,구미동, 현대노블리스,성남시 분당구 구미동 82,"경기도 성남시 분당구 금곡로 171 (구미동, 현대노블리스)",4,2,22,031-713-3563,2024-07-05
분당구,구미동, 현대노블리스,성남시 분당구 구미동 83,"경기도 성남시 분당구 금곡로 171 (구미동, 현대노블리스)",4,2,22,031-713-3563,2024-07-05
분당구,구미동, 현대노블리스,성남시 분당구 구미동 84,"경기도 성남시 분당구 금곡로 171 (구미동, 현대노블리스)",4,2,24,031-713-3563,2024-07-05
분당구,구미동, 현대노블리스,성남시 분당구 구미동 85,"경기도 성남시 분당구 금곡로 171 (구미동, 현대노블리스)",4,2,24,031-713-3563,2024-07-05
분당구,구미동, 한양시티빌,성남시 분당구 구미동 116,"경기도 성남시 분당구 미금로 111 (구미동, 한양시티빌)",3,3,30,,2024-07-05
분당구,구미동, 무지개마을동아아파트,성남시 분당구 구미동 240,"경기도 성남시 분당구 구미로144번길 8 (구미동, 무지개마을)",17,3,132,031-715-1939,2024-07-05
분당구,구미동, 빌라트Y,성남시 분당구 구미동 278-1,"경기도 성남시 분당구 구미로174번길 6 (구미동, 빌라드Y)",4,6,36,031-713-7557,2024-07-05
분당구,금곡동,삼라마이다스빌,성남시 분당구 금곡동 208,"경기도 성남시 분당구 정자일로 21 (금곡동, 삼라마이다스빌)",16,1,74,031-717-4392,2024-07-05
분당구,대장동,힐스테이트 판교 엘포레 3단지,성남시 분당구 대장동 144,"경기도 성남시 분당구 판교대장로 117 (대장동, 힐스테이트판교엘포레3단지)",20,4,121,031-711-7392,2024-07-05
분당구,분당동, 샛별마을현대빌라,성남시 분당구 분당동 41,"경기도 성남시 분당구 불정로 308 (분당동, 샛별마을현대빌라)",3,8,66,031-702-2637,2024-07-05
분당구,분당동, 분당풍림아이원,성남시 분당구 분당동 92,"경기도 성남시 분당구 장안로51번길 6 (분당동, 분당풍림아이원)",3,3,35,,2024-07-05
분당구,분당동, 장안타운건영빌라,성남시 분당구 분당동 113,"경기도 성남시 분당구 서현로 471 (분당동, 장안타운건영빌라)",4,7,144,031-602-4413,2024-07-05
분당구,삼평동,판교푸르지오월드마크,성남시 분당구 삼평동 741,경기도 성남시 분당구 대왕판교로606번길 58 (삼평동),13,1,142,031-8017-1303,2024-07-05
분당구,서현동, 백산오페라하우스,성남시 분당구 서현동 320,"경기도 성남시 분당구 불정로406번길 14 (서현동, 백산오페라하우스)",4,2,42,031-703-9389,2024-07-05
분당구,서현동, 효자촌정도빌라,성남시 분당구 서현동 322,"경기도 성남시 분당구 불정로406번길 7 (서현동, 효자촌정도빌라)",4,7,144,031-708-0883,2024-07-05
분당구,서현동, 효자촌대명연립,성남시 분당구 서현동 323,"경기도 성남시 분당구 분당로263번길 67 (서현동, 효자촌대명연립)",4,6,144,031-701-5048,2024-07-05
분당구,서현동, 서현포스파크,"성남시 분당구 서현동 145,146-1","경기도 성남시 분당구 새마을로83번길 9 (서현동, 서현포스파크)",4,7,128,031-707-7893,2024-07-05
분당구,야탑동, 목련마을대진빌라,성남시 분당구 야탑동 158,"경기도 성남시 분당구 판교로 654 (야탑동, 목련마을대진빌라)",4,5,75,031-701-6189,2024-07-05
분당구,야탑동, 목련마을성환빌라,성남시 분당구 야탑동 176,"경기도 성남시 분당구 야탑로231번길 38 (야탑동, 목련마을성환빌라)",4,7,136,031-707-1423,2024-07-05
분당구,야탑동, 목련마을두원빌라,성남시 분당구 야탑동 182,"경기도 성남시 분당구 야탑로231번길 35 (야탑동, 목련마을두원빌리지)",4,7,124,031-704-1861,2024-07-05
분당구,야탑동, 목련마을미원빌라,성남시 분당구 야탑동 183,"경기도 성남시 분당구 야탑로231번길 45 (야탑동, 목련마을미원빌라)",4,4,108,031-703-4131 ,2024-07-05
분당구,야탑동, 매화마을청구빌라,성남시 분당구 야탑동 217,"경기도 성남시 분당구 벌말로50번길 9 (야탑동, 매화마을청구빌라)",4,7,136,031-708-0771,2024-07-05
분당구,야탑동, 매화마을대창,성남시 분당구 야탑동 267,"경기도 성남시 분당구 벌말로30번길 11 (야탑동, 매화마을대창파크빌)",4,6,112,031-708-1603,2024-07-05
분당구,야탑동, 매화마을화성빌리지,성남시 분당구 야탑동 270,"경기도 성남시 분당구 벌말로50번길 14 (야탑동, 매화마을화성빌리지)",4,7,116,031-707-1207,2024-07-05
분당구,야탑동, 중일빌라,성남시 분당구 야탑동 408,"경기도 성남시 분당구 판교로610번길 9 (야탑동, 중일빌라)",4,2,38,031-705-7415,2024-07-05
분당구,야탑동, 탑마을동아연립주택,성남시 분당구 야탑동 512,"경기도 성남시 분당구 성남대로 884-4 (야탑동, 탑마을동아연립주택)",4,6,115,031-701-2235,2024-07-05
